Product Name,Manufacturer,Item Code
Cannondale HABIT NEO 4 - 29" Carbon Electric Mountain Bike - 2021 - Grey,Cannondale Bikes,CAD483577
CUBE STEREO HYBRID 140 HPC SL 750 - 29 Inches Carbon MTB E-Bike - 2022 - green/flashgreen A00,CUBE Bikes,CUB559991
CUBE STEREO HYBRID 120 Race Allroad 625 - MTB E-Bike - 2022 - polarsilver/black A00,CUBE Bikes,CUB558820
Cannondale MOTERRA NEO Carbon 2 - 29" Electric Mountain Bike - 2021 - Grey,Cannondale Bikes,CAD483498
Simplon CHENOA CX UNI TR - Low Entry E-Bike - 2021 - pearlwhite,Simplon Bikes,SPN499607
Specialized TURBO LEVO COMP - Carbon MTB E-Bike - 2022 - satin black / light silver / gloss black,Specialized Bikes,SBC531824
Specialized TURBO VADO 3.0 E-Bike - 2021 - cast blue / black / liquid silver,Specialized Bikes,SBC486614
Specialized TURBO VADO 4.0 SL EQ - Step Trough E-Bike - 2022 - white sage / black reflective,Specialized Bikes,SBC531793
CUBE NURIDE HYBRID EXC 625 Allroad - E-Bike - 2022 - polarsilver/black A00,CUBE Bikes,CUB559009
Specialized TURBO LEVO COMP ALLOY - MTB E-Bike - 2022 - flo red / black,Specialized Bikes,SBC556652
FOCUS SAM² 6.9 MTB E-Bike - 2022 - Milk Brown,FOCUS Bikes,FOU485527
CUBE KATHMANDU HYBRID SL 750 - E-Bike - 2022 - polarsilver/black A00,CUBE Bikes,CUB558969
Orbea Rise H15 540Wh MTB E-Bike - 2022 - Leo Orange - Black (Gloss),Orbea Bikes,OEA551352
SCOTT ASPECT eRIDE 930 - 29" MTB E-Bike - 2022 - petrol blue / silver,SCOTT Bikes,SCB529110
CUBE STEREO HYBRID 120 Race 625 - MTB E-Bike - 2022 - polarsilver/black A00,CUBE Bikes,CUB558822
Bergamont E-HORIZON FS Elite - Trekking E-Bike - 2021 - dirty tangerine / black,Bergamont Bikes,BGM516928
CUBE NURIDE HYBRID Performance 500 Allroad - E-Bike - 2022 - darkred/red A00,CUBE Bikes,CUB559014
CUBE STEREO HYBRID 140 HPC Race 625 - Carbon MTB E-Bike - 2022 - grey/green A01,CUBE Bikes,CUB583681
Specialized TURBO TERO 4.0 EQ - Step-Through MTB E-Bike - 2022 - redwood / black,Specialized Bikes,SBC556756
Specialized TURBO VADO 5.0 - Men's City E-Bike - 2022 - white mountains / black reflecitve,Specialized Bikes,SBC556784
FOCUS JAM² 6.8 - 29" MTB E-Bike - 2022 - Slate Grey,FOCUS Bikes,FOU556841
CUBE TOURING HYBRID Pro 625 - Women E-Bike - 2022 - lunar/grey A00,CUBE Bikes,CUB557830
CUBE REACTION HYBRID SL 750 - 29 Inches MTB E-Bike - 2022 - black/metal A00,CUBE Bikes,CUB559094
Specialized TURBO COMO 4.0 - Step Trough City E-Bike - 2022 - red tint / silver reflective,Specialized Bikes,SBC556573
CUBE STEREO HYBRID 120 Race 625 - MTB E-Bike - 2022 - smokylilac/black A00,CUBE Bikes,CUB558823
CUBE KATHMANDU HYBRID SL 750 - Women E-Bike - 2022 - polarsilver/black A00,CUBE Bikes,CUB558967
CUBE REACTION HYBRID SL 750 - 29 Inches MTB E-Bike - 2022 - polarsilver/orange A00,CUBE Bikes,CUB559095
Cannondale MAVARO NEO 3 - Electric City Bike - 2022 - black pearl,Cannondale Bikes,CAD512438
CUBE SUPREME HYBRID EXC 625 - Easy Entry E-Bike - 2022 - flashwhite/black A00,CUBE Bikes,CUB559158
CUBE TOURING HYBRID ONE 400 - Women E-Bike - 2022 - green/sharpgreen A00,CUBE Bikes,CUB559176
CUBE KATHMANDU HYBRID SL 750 - Women E-Bike - 2022 - darkred/red A00,CUBE Bikes,CUB558966
Specialized TURBO LEVO SL COMP CARBON - 29" MTB E-Bike - 2022 - flo red / black,Specialized Bikes,SBC491919
Specialized TURBO VADO 4.0 - E-Bike - 2021 - forest green / black / liquid silver,Specialized Bikes,SBC486592
Specialized TURBO LEVO COMP ALLOY - MTB E-Bike - 2022 - black / dove grey / black,Specialized Bikes,SBC556650
FOCUS JARIFA² 6.7 NINE - 29" MTB E-Bike - 2022 - Diamond Black,FOCUS Bikes,FOU556820
CUBE NURIDE HYBRID Performance 625 Allroad - Easy Entry E-Bike - 2022 - graphite/black A00,CUBE Bikes,CUB558810
Specialized TURBO VADO 4.0 SL EQ - Step Trough E-Bike - 2022 - raspberry / black reflective,Specialized Bikes,SBC531792
CUBE KATHMANDU HYBRID PRO 625 - E-Bike - 2022 - flashgrey/black A00,CUBE Bikes,CUB558963
CUBE NURIDE HYBRID PRO 625 Allroad - E-Bike - 2022 - desert/black A00,CUBE Bikes,CUB557812
Ghost E-TERU Advanced - 29" MTB E-Bike - 2021 - Uni cherry / black,Ghost Bikes,GOS497456
Haibike Trekking 6 Low i630Wh - 27.5" Easy Entry Electric Trek Bike - 2022 - gloss grey - neon yellow,Haibike,HAB553100
Diamant JUNA+ 400Wh Women E-Bike - 2022 - morea green,Diamant,DIM528857
Specialized TURBO COMO 4.0 Low Entry E-Bike - 2021 - cast umber / black / chrome,Specialized Bikes,SBC491961
Cannondale MAVARO NEO 5 Plus - Electric City Bike - 2022 - black pearl,Cannondale Bikes,CAD508663
Cannondale MAVARO NEO 5 - 500 Wh City E-Bike - 2021 - black pearl,Cannondale Bikes,CAD509938
Orbea Gain D50 Claris Roadbike E-Bike - 2022 - Lichen Green (gloss)- Black (matte),Orbea Bikes,OEA551450
CUBE TOURING HYBRID ONE 625 - Women E-Bike - 2022 - green/sharpgreen A00,CUBE Bikes,CUB558833
CUBE TOURING HYBRID ONE 625 - E-Bike - 2022 - grey/blue A01,CUBE Bikes,CUB577650
CUBE ELLA Ride HYBRID 500 - Easy Entry Women E-Bike - 2022 - auburn/salmon A00,CUBE Bikes,CUB558949
CUBE TOURING HYBRID ONE 400 - E-Bike - 2022 - grey/blue A01,CUBE Bikes,CUB576837
CUBE KATHMANDU HYBRID PRO 625 - E-Bike - 2022 - desert/orange A00,CUBE Bikes,CUB557807
FOCUS AVENTURA² 6.7 - 29" Trekking E-Bike - 2022 - Diamond Black,FOCUS Bikes,FOU556817
Specialized TURBO TERO 4.0 EQ - MTB E-Bike - 2022 - black / black,Specialized Bikes,SBC556752
Specialized TURBO VADO 4.0 Step-Through E-Bike - 2021 - cast umber / black / liquid silver,Specialized Bikes,SBC486601
Giant EXPLORE E+ PRO 45 GTS 625Wh - 45km/h Mens Trekking E-Bike - 2022 - black,Giant Bikes,GNT553554
Simplon CHENOA CX Deore11 - Women E-Bike - 2021 - pearlwhite,Simplon Bikes,SPN499556
Orbea Gain M30 1X GRX RX600 Gravel E-Bike - 2022 - Speed Silver (matte) - Black (gloss),Orbea Bikes,OEA551476
Orbea Gain M30 105 Roadbike E-Bike - 2022 - Ice Green (gloss) - Black (matte),Orbea Bikes,OEA551349
Specialized TURBO LEVO COMP ALLOY - MTB E-Bike - 2022 - sage green / cool grey / black,Specialized Bikes,SBC556653
CUBE KATHMANDU HYBRID 45 625 - 45 km/h E-Bike - 2022 - grey/red A00,CUBE Bikes,CUB558978
CUBE STEREO HYBRID 140 HPC Race 625 - Carbon MTB E-Bike - 2022 - grey/green A02,CUBE Bikes,CUB583682
CUBE STEREO HYBRID 140 HPC Pro 625 - Carbon Electric Mountain Bike - 2022 - carbon/metal A00,CUBE Bikes,CUB559129
Cannondale MAVARO NEO 2 - 625 Wh City E-Bike - 2021 - Graphite,Cannondale Bikes,CAD512437
CUBE STEREO HYBRID 120 Pro 625 - MTB E-Bike - 2022 - lunar/grey A00,CUBE Bikes,CUB559122
CUBE STEREO HYBRID 120 Pro 625 - MTB E-Bike - 2022 - skyblue/white A00,CUBE Bikes,CUB558819
FOCUS PLANET² 6.8 - Mens E-Bike - 2022 - Rustred,FOCUS Bikes,FOU556825
Specialized TURBO VADO 3.0 - Men's City E-Bike - 2022 - cast black / silver reflective,Specialized Bikes,SBC556764
CUBE NURIDE HYBRID EXC 625 Allroad - Women E-Bike - 2022 - blue/blue A00,CUBE Bikes,CUB559007
CUBE TOURING HYBRID ONE 625 - Women E-Bike - 2022 - grey/blue A01,CUBE Bikes,CUB578119
FOCUS AVENTURA² 6.6 - 29" MTB Trekking E-Bike - 2022 - Diamond Black,FOCUS Bikes,FOU485543
